fold,period_idx,date,split,id,weight,p_hat,c_exec,implied,next_implied,edge
52,52,2025-06-24 00:00:00+00:00,train,553862,0.032258064516129024,0.49665089792034084,0.146,0.146,0.146,0.3506508979203409
52,52,2025-06-24 00:00:00+00:00,train,553863,0.032258064516129024,0.48658607949652394,0.0175,0.0175,0.0175,0.4690860794965239
52,52,2025-06-24 00:00:00+00:00,train,553864,0.032258064516129024,0.4848476038388172,0.005,0.005,0.005,0.4798476038388172
52,52,2025-06-24 00:00:00+00:00,train,553865,0.032258064516129024,0.49518092851619305,0.065,0.065,0.065,0.43018092851619305
52,52,2025-06-24 00:00:00+00:00,train,553866,0.032258064516129024,0.4903126590719098,0.1615,0.1615,0.1615,0.3288126590719098
52,52,2025-06-24 00:00:00+00:00,train,553869,0.032258064516129024,0.48499508495275645,0.0015,0.0015,0.0015,0.48349508495275645
52,52,2025-06-24 00:00:00+00:00,train,553871,0.032258064516129024,0.491767169660614,0.0295,0.0295,0.0295,0.462267169660614
52,52,2025-06-24 00:00:00+00:00,train,553876,0.032258064516129024,0.4857375474099026,0.0015,0.0015,0.0015,0.4842375474099026
52,52,2025-06-24 00:00:00+00:00,train,553877,0.032258064516129024,0.4800999862123362,0.001,0.0005,0.0005,0.4790999862123362
52,52,2025-06-24 00:00:00+00:00,train,553879,0.032258064516129024,0.48139057898953397,0.0015,0.0015,0.0015,0.47989057898953397
52,52,2025-06-24 00:00:00+00:00,train,553881,0.032258064516129024,0.48493224750755776,0.004,0.004,0.004,0.48093224750755775
53,53,2025-06-25 00:00:00+00:00,train,540819,0.0,0.4773883884628746,0.485,0.485,0.485,-0.007611611537125362
53,53,2025-06-25 00:00:00+00:00,train,540843,0.0,0.5290368046580124,0.51,0.51,0.51,0.019036804658012385
53,53,2025-06-25 00:00:00+00:00,train,540844,0.0,0.4721524459431353,0.494,0.494,0.494,-0.02184755405686467
53,53,2025-06-25 00:00:00+00:00,train,553824,0.0,0.04001134104596489,0.175,0.175,0.175,-0.1349886589540351
53,53,2025-06-25 00:00:00+00:00,train,553826,0.02646870051689566,0.03999696347693146,0.085,0.085,0.085,-0.04500303652306854
53,53,2025-06-25 00:00:00+00:00,train,553827,0.016355158495084204,0.044741065970689047,0.058,0.058,0.058,-0.013258934029310956
53,53,2025-06-25 00:00:00+00:00,train,553828,0.0,0.05462413710346614,0.2525,0.2525,0.2525,-0.19787586289653386
53,53,2025-06-25 00:00:00+00:00,train,553829,0.02843455289800828,0.04636234916270064,0.0795,0.0795,0.0795,-0.03313765083729936
53,53,2025-06-25 00:00:00+00:00,train,553830,0.015094406434525014,0.04822922887033631,0.0845,0.0845,0.0845,-0.0362707711296637
53,53,2025-06-25 00:00:00+00:00,train,553831,0.027107981374372588,0.04919042847979165,0.0065,0.0065,0.0065,0.04269042847979165
53,53,2025-06-25 00:00:00+00:00,train,553837,0.05825689465810651,0.04208313146825966,0.0165,0.0165,0.0165,0.025583131468259662
53,53,2025-06-25 00:00:00+00:00,train,553838,0.04213455370974125,0.05430208975982243,0.0615,0.0615,0.0615,-0.007197910240177567
53,53,2025-06-25 00:00:00+00:00,train,553839,0.0469870863095455,0.04068859897079428,0.0095,0.0095,0.0095,0.031188598970794276
53,53,2025-06-25 00:00:00+00:00,train,553843,0.03491454131159325,0.042707488205100196,0.026,0.026,0.026,0.016707488205100197
53,53,2025-06-25 00:00:00+00:00,train,553848,0.034028453798752745,0.0384352426614039,0.0105,0.0105,0.0105,0.027935242661403896
53,53,2025-06-25 00:00:00+00:00,train,553849,0.029508889392866087,0.045092534332006856,0.0455,0.0455,0.0455,-0.00040746566799314266
53,53,2025-06-25 00:00:00+00:00,train,553850,0.04380737073854636,0.040447216661303916,0.0085,0.0085,0.0085,0.031947216661303915
53,53,2025-06-25 00:00:00+00:00,train,553851,0.007449849729506887,0.04832323292563651,0.071,0.071,0.071,-0.02267676707436348
53,53,2025-06-25 00:00:00+00:00,train,553852,0.04038725159543047,0.04143301290273833,0.0125,0.0125,0.0125,0.028933012902738326
53,53,2025-06-25 00:00:00+00:00,train,553856,0.0,0.048636771503081634,0.485,0.485,0.485,-0.43636322849691833
53,53,2025-06-25 00:00:00+00:00,train,553857,0.01619583463658531,0.045949734493307984,0.044,0.044,0.044,0.0019497344933079863
53,53,2025-06-25 00:00:00+00:00,train,553858,0.03628726216617264,0.05084329266687781,0.0275,0.0275,0.0275,0.023343292666877808
53,53,2025-06-25 00:00:00+00:00,train,553859,0.02652360915238402,0.04892108650342109,0.015,0.015,0.015,0.03392108650342109
53,53,2025-06-25 00:00:00+00:00,train,553860,0.026517824045292585,0.043697342862201324,0.0065,0.0065,0.0065,0.037197342862201326
53,53,2025-06-25 00:00:00+00:00,train,553862,0.0,0.05474536317872003,0.146,0.146,0.146,-0.09125463682127996
53,53,2025-06-25 00:00:00+00:00,train,553863,0.057269470317594676,0.04707733251416991,0.0175,0.0175,0.0175,0.029577332514169906
53,53,2025-06-25 00:00:00+00:00,train,553864,0.02929402253608562,0.04365444020165815,0.005,0.005,0.005,0.038654440201658154
53,53,2025-06-25 00:00:00+00:00,train,553865,0.021859222023212187,0.04673154660898782,0.065,0.065,0.065,-0.018268453391012185
53,53,2025-06-25 00:00:00+00:00,train,553866,0.0,0.05680808474287336,0.1615,0.1615,0.1615,-0.10469191525712665
53,53,2025-06-25 00:00:00+00:00,train,553869,0.027711217373379286,0.043272657900358634,0.0015,0.0015,0.0015,0.04177265790035863
53,53,2025-06-25 00:00:00+00:00,train,553871,0.04687549986615533,0.049309569765770944,0.0295,0.0295,0.0295,0.019809569765770946
53,53,2025-06-25 00:00:00+00:00,train,553876,0.038923562651626255,0.04676276502816815,0.0015,0.0015,0.0015,0.04526276502816815
53,53,2025-06-25 00:00:00+00:00,train,553877,0.028198490202339114,0.04149957127927155,0.001,0.0005,0.0005,0.04049957127927155
