fold,id,weight,p_hat,c_exec,implied,edge
1,553881,0.0,0.049450890740437015,0.004,0.004,0.04545089074043701
1,559670,0.0,0.022779501401999486,0.0065,0.0065,0.016279501401999488
1,559680,0.0,0.022141183428716762,0.0065,0.0065,0.015641183428716763
1,559678,0.0,0.024059946242906673,0.0085,0.0085,0.015559946242906672
1,559684,0.0,0.028354599045869053,0.0105,0.0105,0.01785459904586905
1,559676,0.0,0.023393247907609927,0.0075,0.0075,0.015893247907609927
1,559685,0.0,0.021703607324806758,0.0075,0.0075,0.014203607324806758
1,558954,0.0,0.032068539090547715,0.0025,0.0025,0.029568539090547716
1,561235,0.0,0.03335939542726974,0.0075,0.0075,0.02585939542726974
1,562828,0.0,0.07829469529677896,0.515,0.515,-0.43670530470322105
1,566136,0.0,0.06162188140429459,0.245,0.245,-0.1833781185957054
1,559682,0.0,0.022555341460654358,0.0065,0.0065,0.01605534146065436
1,562832,0.0004772968806400223,0.09245342572415478,0.0055,0.0055,0.08695342572415478
1,566230,0.0,0.05048414447364912,0.001,0.0005,0.04948414447364912
1,553871,0.0,0.05935452589463046,0.0295,0.0295,0.02985452589463046
1,553852,0.00032116291319425096,0.08736345332601171,0.0125,0.0125,0.07486345332601171
1,561989,0.0,0.032661067670394714,0.0115,0.0115,0.021161067670394714
1,558952,0.0,0.03312803377667013,0.0055,0.0055,0.027628033776670134
1,553837,0.00032810027108576533,0.09190209068618843,0.0165,0.0165,0.07540209068618843
1,559666,0.0,0.022738536893595278,0.0075,0.0075,0.015238536893595278
1,558961,0.0,0.03300416603927823,0.0035,0.0035,0.02950416603927823
1,553862,0.0,0.06825314161814984,0.146,0.146,-0.07774685838185015
1,569364,0.0006241021287647986,0.09932387208476003,0.001,0.0005,0.09832387208476003
1,559652,0.0,0.03396699409099448,0.2725,0.2725,-0.23853300590900553
1,559657,0.0,0.02956022987570468,0.0105,0.0105,0.01906022987570468
1,562000,0.0,0.028591050137507037,0.0115,0.0115,0.017091050137507037
