fold,period_idx,date,split,pnl_realized_next_step,objective,turnover_l1,risk_cov,risk_diag_equiv
273,273,2026-01-31 00:00:00+00:00,validation,-0.00010810810810810812,0.055016545325996175,0.0,0.0007994654115606028,0.0007994518980470893
274,274,2026-02-01 00:00:00+00:00,validation,-0.00010810810810810812,0.0549838803482452,0.0,0.0007990686057229687,0.0007990550922094553
275,275,2026-02-02 00:00:00+00:00,validation,-0.00010810810810810812,0.0549517589092729,0.0,0.0007986783267518372,0.0007986648132383236
276,276,2026-02-03 00:00:00+00:00,validation,-0.00010810810810810812,0.05492017359040418,0.0,0.0007982944868167338,0.0007982809733032205
277,277,2026-02-04 00:00:00+00:00,validation,-0.00010810810810810812,0.05488911734238635,0.0,0.0007979170024564377,0.0007979034889429243
278,278,2026-02-05 00:00:00+00:00,validation,-0.00010810810810810812,0.05485858348322981,0.0,0.0007975457945558969,0.0007975322810423835
279,279,2026-02-06 00:00:00+00:00,validation,-0.00010810810810810812,0.054828565696867,0.0,0.000797180788332724,0.0007971672748192105
280,280,2026-02-07 00:00:00+00:00,validation,-0.00010810810810810812,0.05479901695436688,0.0,0.0007968213405520264,0.0007968078270385128
281,281,2026-02-08 00:00:00+00:00,validation,-0.00010810810810810812,0.05476997446006957,0.0,0.0007964679787946232,0.0007964544652811097
282,282,2026-02-09 00:00:00+00:00,validation,-0.00010810810810810812,0.0547414329404299,0.0,0.0007961206406293745,0.0007961071271158609
283,283,2026-02-10 00:00:00+00:00,test,-0.00010810810810810812,0.0547133874939668,0.0,0.0007957792680385412,0.0007957657545250277
284,284,2026-02-11 00:00:00+00:00,test,-0.00011456699636890813,0.050479423273829656,0.07797047487024396,0.0008540367191063727,0.0008540221987600091
285,285,2026-02-12 00:00:00+00:00,test,-0.00010810810810810812,0.050768518162921425,0.07797047487024397,0.0007952147793081829,0.0007952012657946694
286,286,2026-02-13 00:00:00+00:00,test,-0.00010810810810810812,0.054640399388785975,0.0,0.0007948902857775488,0.0007948767722640354
287,287,2026-02-14 00:00:00+00:00,test,-0.00010810810810810812,0.05461423830110237,0.0,0.0007945715845503811,0.0007945580710368677
288,288,2026-02-15 00:00:00+00:00,test,-0.00010810810810810812,0.0545885556603781,0.0,0.0007942586403968989,0.0007942451268833853
289,289,2026-02-16 00:00:00+00:00,test,-0.00010616732279788794,0.04411382873090294,0.21028598189054526,0.0010175493498729147,0.0010175323316138102
290,290,2026-02-17 00:00:00+00:00,test,-0.00010810810810810812,0.0440083324050619,0.21028598189054526,0.0007934614600685139,0.0007934479465550005
